1,4,7,10,13,16
2,0.915029906769,0.938032962899,0.912112642302,0.910564654686,0.910564654686,0.910564654686
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.914870924257,0.941899875518,0.948535235487,0.943400447297,0.943400447297,0.943400447297
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
7,0.928321550318,0.943751347814,0.945588747937,0.945814203973,0.945814203973,0.945814203973
9,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
16,0.92256032691,0.95076596645,0.957842481266,0.954535792737,0.954535792737,0.954535792737
20,0.0,0.0,0.957787825257,0.0,0.0,0.0
26,0.918517628749,0.955668058432,0.957842481266,0.957842481266,0.957842481266,0.957842481266
34,0.0,0.0,0.952399222882,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
58,0.925788986795,0.953792542934,0.964631643866,0.961270299328,0.961270299328,0.961270299328
76,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0
128,0.920637395575,0.95409669818,0.960814401742,0.964418005345,0.964418005345,0.964418005345
165,0.0,0.0,0.0,0.0,0.0,0.0
215,0.922318067844,0.953968328476,0.957227601168,0.96065541923,0.96065541923,0.96065541923
279,0.0,0.0,0.960608003393,0.960608003393,0.960608003393,0.0
362,0.0,0.0,0.959133729473,0.962568787707,0.962568787707,0.0
469,0.922263411835,0.955722714441,0.960608003393,0.964370589508,0.964370589508,0.964370589508
608,0.0,0.0,0.958853617428,0.962409805195,0.962409805195,0.0
789,0.0,0.0,0.0,0.0,0.0,0.0
1024
,0.921928643782,0.955722714441,0.95902940297,0.960783788935,0.960783788935,0.960783788935
