1,4,7,10,13,16
2,0.933140649709,0.970713753924,0.95846441466,0.953725675016,0.953725675016,0.953725675016
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.93300339624,0.980598565472,0.97211632123,0.971992044989,0.971992044989,0.971992044989
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
7,0.979662830231,0.986207387119,0.986703194784,0.987214023109,0.987214023109,0.987214023109
9,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
16,0.982694384176,0.98927031035,0.991875144524,0.991378444705,0.991378444705,0.991378444705
20,0.0,0.0,0.991508926046,0.0,0.0,0.0
26,0.982697779039,0.989680263402,0.991729797074,0.991963807112,0.991963807112,0.991963807112
34,0.0,0.0,0.991529742724,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
58,0.983957673113,0.990467305816,0.992102680352,0.991751989019,0.991751989019,0.991751989019
76,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0
128,0.984156129952,0.990712219087,0.992261131664,0.991373550201,0.991297330689,0.991297330689
165,0.0,0.0,0.0,0.0,0.0,0.0
215,0.984555655679,0.991115330261,0.991571335797,0.99087549939,0.99083763023,0.99083763023
279,0.0,0.0,0.991501092803,0.990841815283,0.99081447728,0.0
362,0.0,0.0,0.991361345987,0.990911633517,0.990873523761,0.0
469,0.984480616191,0.990857377619,0.991123836152,0.990765358575,0.990735807748,0.990735807748
608,0.0,0.0,0.991849642603,0.99173752616,0.99173752616,0.0
789,0.0,0.0,0.0,0.0,0.0,0.0
1024
,0.984497370005,0.990502035319,0.991748303456,0.991861258334,0.991831707506,0.991831707506
