1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49
1,0.895118100291,0.929110613938,0.0,0.924955824227,0.0,0.924955824227,0.0,0.924955824227,0.924955824227,0.0,0.924955824227,0.0,0.924955824227,0.0,0.924955824227,0.0,0.924955824227
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.895118100291,0.929110613938,0.0,0.924955824227,0.0,0.924955824227,0.0,0.924955824227,0.924955824227,0.0,0.924955824227,0.0,0.924955824227,0.0,0.924955824227,0.0,0.924955824227
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.932343604108,0.914641337386,0.0,0.930869868902,0.0,0.930869868902,0.0,0.930869868902,0.930869868902,0.0,0.930869868902,0.0,0.930869868902,0.0,0.930869868902,0.0,0.930869868902
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.933124269953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.920321516673,0.919520659,0.0,0.928961457742,0.0,0.928961457742,0.0,0.928961457742,0.928961457742,0.0,0.928961457742,0.0,0.928961457742,0.0,0.928961457742,0.0,0.928961457742
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.929352634518,0.919878320767,0.0,0.933389923383,0.0,0.933389923383,0.0,0.933389923383,0.933389923383,0.0,0.933389923383,0.0,0.933389923383,0.0,0.933389923383,0.0,0.933389923383
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.952560696307,0.959585142449,0.0,0.934857976292,0.0,0.934857976292,0.0,0.934857976292,0.934857976292,0.0,0.934857976292,0.0,0.934857976292,0.0,0.934857976292,0.0,0.934857976292
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.967979094077,0.969637068358,0.0,0.953099848332,0.0,0.953099848332,0.0,0.953099848332,0.953099848332,0.0,0.953099848332,0.0,0.953099848332,0.0,0.953099848332,0.0,0.953099848332
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,0.968122157725,0.962615952219,0.0,0.953099848332,0.0,0.953099848332,0.0,0.953099848332,0.953099848332,0.0,0.953099848332,0.0,0.953099848332,0.0,0.953099848332,0.0,0.953099848332
241,0.0,0.95831002331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,0.0,0.962005347594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,0.968576761052,0.961685219542,0.0,0.957447674419,0.0,0.957447674419,0.0,0.957447674419,0.957447674419,0.0,0.957447674419,0.0,0.957447674419,0.0,0.957447674419,0.0,0.957447674419
574,0.0,0.957848484848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024
,0.965206839493,0.957848484848,0.0,0.957447674419,0.0,0.957447674419,0.0,0.957447674419,0.957447674419,0.0,0.957447674419,0.0,0.957447674419,0.0,0.957447674419,0.0,0.957447674419
