1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49
1,0.89714264917,0.941730659582,0.0,0.943252349339,0.0,0.943252349339,0.0,0.943252349339,0.943252349339,0.0,0.943252349339,0.0,0.943252349339,0.0,0.943252349339,0.0,0.943252349339
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.89714264917,0.941730659582,0.0,0.943252349339,0.0,0.943252349339,0.0,0.943252349339,0.943252349339,0.0,0.943252349339,0.0,0.943252349339,0.0,0.943252349339,0.0,0.943252349339
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.919956041953,0.948489209374,0.0,0.951741241895,0.0,0.951741241895,0.0,0.951741241895,0.951741241895,0.0,0.951741241895,0.0,0.951741241895,0.0,0.951741241895,0.0,0.951741241895
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.952259035662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.925320601127,0.944976122496,0.0,0.950578363393,0.0,0.950578363393,0.0,0.950578363393,0.950578363393,0.0,0.950578363393,0.0,0.950578363393,0.0,0.950578363393,0.0,0.950578363393
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.932669987816,0.948021756668,0.0,0.953799783106,0.0,0.953799783106,0.0,0.953799783106,0.953799783106,0.0,0.953799783106,0.0,0.953799783106,0.0,0.953799783106,0.0,0.953799783106
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.95020574236,0.967423463852,0.0,0.955138447149,0.0,0.955138447149,0.0,0.955138447149,0.955138447149,0.0,0.955138447149,0.0,0.955138447149,0.0,0.955138447149,0.0,0.955138447149
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.962362389358,0.970858522086,0.0,0.962545415071,0.0,0.962545415071,0.0,0.962545415071,0.962545415071,0.0,0.962545415071,0.0,0.962545415071,0.0,0.962545415071,0.0,0.962545415071
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,0.965517335547,0.969567273879,0.0,0.962545415071,0.0,0.962545415071,0.0,0.962545415071,0.962545415071,0.0,0.962545415071,0.0,0.962545415071,0.0,0.962545415071,0.0,0.962545415071
241,0.0,0.971034307627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,0.0,0.972660323887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,0.969821088065,0.969408291367,0.0,0.96422608734,0.0,0.96422608734,0.0,0.96422608734,0.96422608734,0.0,0.96422608734,0.0,0.96422608734,0.0,0.96422608734,0.0,0.96422608734
574,0.0,0.967782275107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024
,0.968090745301,0.967782275107,0.0,0.96422608734,0.0,0.96422608734,0.0,0.96422608734,0.96422608734,0.0,0.96422608734,0.0,0.96422608734,0.0,0.96422608734,0.0,0.96422608734
