l1,l2
0.001,0.918897752349,0.924749492483
0.021387755102,0.0,0.0
0.0417755102041,0.0,0.0
0.0621632653061,0.0,0.0
0.0825510204082,0.0,0.0
0.10293877551,0.927369841876,0.943205866463
0.123326530612,0.0,0.0
0.143714285714,0.0,0.0
0.164102040816,0.0,0.0
0.184489795918,0.0,0.0
0.20487755102,0.944886538732,0.94472755622
0.225265306122,0.0,0.0
0.245653061224,0.0,0.0
0.266040816327,0.0,0.0
0.286428571429,0.0,0.0
0.306816326531,0.0,0.0
0.327204081633,0.941123952617,0.941140755647
0.347591836735,0.0,0.0
0.367979591837,0.0,0.0
0.388367346939,0.0,0.0
0.408755102041,0.0,0.0
0.429142857143,0.945014908437,0.945062324274
0.449530612245,0.0,0.0
0.469918367347,0.0,0.0
0.490306122449,0.0,0.0
0.510693877551,0.0,0.0
0.531081632653,0.0,0.0
0.551469387755,0.943054124123,0.950579296354
0.571857142857,0.0,0.0
0.592244897959,0.0,0.0
0.612632653061,0.0,0.0
0.633020408163,0.0,0.0
0.653408163265,0.945014908437,0.950579296354
0.673795918367,0.0,0.0
0.694183673469,0.0,0.0
0.714571428571,0.0,0.0
0.734959183673,0.0,0.0
0.755346938776,0.0,0.0
0.775734693878,0.950403510813,0.947151478292
0.79612244898,0.0,0.0
0.816510204082,0.0,0.0
0.836897959184,0.0,0.0
0.857285714286,0.0,0.0
0.877673469388,0.948722838544,0.947151478292
0.89806122449,0.0,0.0
0.918448979592,0.0,0.0
0.938836734694,0.0,0.0
0.959224489796,0.0,0.0
0.979612244898,0.0,0.0
1.0
,0.952084183082,0.947151478292
