1,4,7,10,13,16
2,0.934488524092,0.907740298917,0.837930293942,0.833511014035,0.833511014035,0.833511014035
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.908193553619,0.921514389801,0.93932755738,0.929406864537,0.929406864537,0.929406864537
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
7,0.930222332016,0.937780112045,0.924983128917,0.917752800396,0.917752800396,0.917752800396
9,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
16,0.9571683065,0.937919896641,0.939590379833,0.928476192251,0.928476192251,0.928476192251
20,0.0,0.0,0.939139984062,0.0,0.0,0.0
26,0.952571066704,0.955359675785,0.942974995218,0.939170647392,0.939170647392,0.939170647392
34,0.0,0.0,0.93457065189,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
58,0.963735431235,0.949968925318,0.947769531913,0.939617358,0.939617358,0.939617358
76,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0
128,0.956214177979,0.955174661909,0.951329893264,0.951811171884,0.951811171884,0.951811171884
165,0.0,0.0,0.0,0.0,0.0,0.0
215,0.956336129198,0.950431331953,0.947565187381,0.955870314083,0.955870314083,0.955870314083
279,0.0,0.0,0.951964813899,0.951964813899,0.951964813899,0.0
362,0.0,0.0,0.951144879388,0.951964813899,0.951964813899,0.0
469,0.951812319675,0.955351966874,0.951964813899,0.956505234718,0.956505234718,0.956505234718
608,0.0,0.0,0.947160009094,0.956505234718,0.956505234718,0.0
789,0.0,0.0,0.0,0.0,0.0,0.0
1024
,0.950000660314,0.955351966874,0.951537164607,0.956341969412,0.956341969412,0.956341969412
