l1,l2
0.001,0.967065484565,0.972069722646
0.021387755102,0.0,0.0
0.0417755102041,0.0,0.0
0.0621632653061,0.0,0.0
0.0825510204082,0.0,0.0
0.10293877551,0.980789956853,0.986937363855
0.123326530612,0.0,0.0
0.143714285714,0.0,0.0
0.164102040816,0.0,0.0
0.184489795918,0.0,0.0
0.20487755102,0.989086870637,0.989017546409
0.225265306122,0.0,0.0
0.245653061224,0.0,0.0
0.266040816327,0.0,0.0
0.286428571429,0.0,0.0
0.306816326531,0.0,0.0
0.327204081633,0.990061635085,0.99033595885
0.347591836735,0.0,0.0
0.367979591837,0.0,0.0
0.388367346939,0.0,0.0
0.408755102041,0.0,0.0
0.429142857143,0.990522016612,0.990742884736
0.449530612245,0.0,0.0
0.469918367347,0.0,0.0
0.490306122449,0.0,0.0
0.510693877551,0.0,0.0
0.531081632653,0.0,0.0
0.551469387755,0.990772575897,0.991201504555
0.571857142857,0.0,0.0
0.592244897959,0.0,0.0
0.612632653061,0.0,0.0
0.633020408163,0.0,0.0
0.653408163265,0.990866758503,0.991270316345
0.673795918367,0.0,0.0
0.694183673469,0.0,0.0
0.714571428571,0.0,0.0
0.734959183673,0.0,0.0
0.755346938776,0.0,0.0
0.775734693878,0.991185394691,0.991439615247
0.79612244898,0.0,0.0
0.816510204082,0.0,0.0
0.836897959184,0.0,0.0
0.857285714286,0.0,0.0
0.877673469388,0.991775140041,0.991817353091
0.89806122449,0.0,0.0
0.918448979592,0.0,0.0
0.938836734694,0.0,0.0
0.959224489796,0.0,0.0
0.979612244898,0.0,0.0
1.0
,0.991995532019,0.99195315545
